formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max
8a018692915486670191550153fc3112,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Nusa Tenggara Timur,21,1,2785700,9024448
8a018692915486670191551c7f2f4fe7,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Gorontalo,4,1,2785700,9024448
8a018692915486670191555f06ae24c5,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,PUTRA/PUTRI PAPUA DAN PAPUA BARAT,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Papua Barat,2,1,2785700,9024448
8a01869291548667019155611e1b2828,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,PUTRA/PUTRI PAPUA DAN PAPUA BARAT,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Papua,4,1,2785700,9024448
8a0384b4915028740191514e9f003cc7,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Aceh,19,1,2785700,9024448
8a0384b49150287401915156c7333de6,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Bali,13,1,2785700,9024448
8a0384b49150287401915397c795683f,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Banten,16,1,2785700,9024448
8a0384b491502874019153c9dd9c10b2,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi D.I Yogyakarta,8,1,2785700,9024448
8a0384b49150287401915448f01e6314,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Utara,20,1,2785700,9024448
e6975cbd-37ab-440b-9c48-8ad1f3a01194,Badan Meteorologi,PERENCANA AHLI PERTAMA,UMUM,Klimatologi dan Geofisika,,3,0,5500000,8500000
